ID;Título;Entidade;Status;Requerente - Requerente;Atribuído - Grupo Técnico;Categoria;Descrição
68;Sistemas | ERP - SINQIA (26417);6;4;10;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : FO - Portal de Crédito - FO - ????
3) SOLICITAÇÃO - ?? : Melhoria - ??
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Relatorio ''Forma de Constituição''
5) DESCRIÇÃO - ??????????????) : 
Bom dia!

A pedido da Molly peço por gentileza criar um relatório onde contenha as informações do cadastro que informa qual é a ''Forma de Constituição'' empresarial dos clientes ativos.

Segue o print da tela no FO que é preenchido a informação:

[c71f22f1-8752cc2f-6866675c2ed246.64610672]

Obrigada.

6) ANEXO - ?? : Documento anexado"
69;Sistemas | ERP - SINQIA (26357);10;2;33;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CP - Regulatórios de Crédito - CP - ????
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Problema - Relatório 3040
5) DESCRIÇÃO - ??????????????) : 
Boa tarde, Bruno. 

Pedimos a gentileza de verificar o relatório do 3040, os valores de saldo divergem com o valor disponibilizado pelo EM.

No aguardo.

6) EVIDÊNCIA(S) - ?? : Documento anexado"
70;Sistemas | ERP - SINQIA (25452);33;4;41;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : EM - Crédito - EM - ??
3) SOLICITAÇÃO - ?? : Melhoria - ??
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : RELATÓRIO DE SPREAD | POWER BI
5) DESCRIÇÃO - ??????????????) : 
Necessário o desenvolvimento de um campo para disponibilizarmos o spread das operações, após isso, essa informação ser disponibilizada junto as informações das operações por meio de relatório que será disponibilizado no power BI. 

 

Estamos disponibilizando uma planilha com o modo de cálculo. 

6) ANEXO - ?? : Documento anexado"
71;Sistemas | ERP - SINQIA (25990);32;4;34;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CP RDM - Risco de Mercado - CP RDM - ????
3) SOLICITAÇÃO - ?? : Dúvida Operacional - ????
4) EXPLIQUE SUA DÚVIDA - ?????? : Cadastro de Produto SWAP e FUTURO 
5) DESCRIÇÃO - ??????????????) : 
Necessitamos entender e fazer teste de produtos como futuro e swap de moedas para gerar e simular o risco de mercado de algumas operações e entender o seu impacto em nossa carteira. 

6) EVIDÊNCIA(S) - ?? : Documento anexado"
72;Sistemas | ERP - SINQIA (25461);7;2;30;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : EM - Crédito - EM - ??
3) SOLICITAÇÃO - ?? : Dúvida Operacional - ????
4) EXPLIQUE SUA DÚVIDA - ?????? : DUVIDA SOBRE O INDICE DE INADIMPLENCIA NO POWER BI DE FEVEREIRO /2025
5) DESCRIÇÃO - ??????????????) : 
Meninos, poderiam por gentileza verifica o Indicador de Inadimplência Power Bi  no mes de Fevereiro os dias de atraso estão 5 dias a mais de vencimento que o correto, porem olhando o indicador de hoje Junho, os dias estão corretos. Poderiam verificar o que aconteceu para que em Fevereiro os dias estivessem incorretos?

6) EVIDÊNCIA(S) - ?? : Documento anexado"
73;Softwares | Outros (24819);32;2;34;1;210;"DADOS DO FORMULÁRIO

SOFTWARES - ??

1) SELECIONE O SOFTWARE - ???? : Outros - ??
2) SELECIONE A OPÇÃO DESEJADA - ??????? : Demais programas - ????
3) SOLICITAÇÃO - ?? : Falha/Defeito - ??/??
4) INFORME PROGRAMA A SER INSTALADO - ???????? : BI - Microsoft
5) JUSTIFIQUE A NECESSIDADE PARA USO - ???????? : Relatórios Mensais
6) DESCRIÇÃO - ??????????????) : 
Prezados, bom dia

Necessitamos verificar os nossos relatórios que estão fora do ar devido a mudança das contas contábeis e pelas questões da 4966.

Fico a disposição 

7) ANEXO - ?? : Documento anexado"
74;Sistemas | ERP - SINQIA (7023);8;4;48;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CD - Cadastro - CD - ??
3) SOLICITAÇÃO - ?? : Melhoria - ??
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Pré-análise de crédito - Integração CD e Tree
5) DESCRIÇÃO - ??????????????) : 
Bom dia!

Atualmente temos uma integração entre os sistemas CD ? Tree Solution, na conclusão do Cadastro (PF e PJ).

Hoje o pré-requisito é que o cadastro do Sócio esteja completo para que seja possível integrar,

Queremos que seja avaliado, se é possível realizar essa integração com apenas nome e cnpj no momento que é vinculado ao Quadro Societário do Cadastro.

Sugiro marcamos uma reunião para alinharmos a necessidade.

 

Obrigado

6) ANEXO - ?? : Nenhum documento anexado"
75;Sistemas | ERP - SINQIA (23970);28;4;51;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CO ILG - Regulatórios Contábeis - CO ILG - ??
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Geração arquivo EFD Contribuições
5) DESCRIÇÃO - ??????????????) : 
Prezados

Conforme já discutido, estamos com problemas na geração do arquivo do EFD Contribuições, realizado todos os parâmetros informados pela Sinqia.

Continua apresentado erros como:

- Não está subindo o novo plano de contas no arquivo

- Valores não conferem com a movimentação do mês de cada conta contábil

- Apresenta o mesmo valor para várias contas contábeis.

Já aberto chamado interno na Sinqia, em anexo email de TI, formalizando o problema do arquivo.

6) EVIDÊNCIA(S) - ?? : Documento anexado"
76;Equipamentos | Desktop/Laptop/Monitor (24075);7;4;30;3;49;"DADOS DO FORMULÁRIO

EQUIPAMENTOS - ??

1) SELECIONE A OPÇÃO DESEJADA - ??????? : Desktop/Laptop/Monitor - ???/???/???
2) SOLICITAÇÃO - ?? : Formatação de dispositivo - ?????
3) INFORMAR MOTIVOS QUE LEVARÃO A NECESSIDADE DA FORMATAÇÃO - ???????????? : Meninos, meu notebook está lento e travando poderiam analisar por favor
4) INFORMAR SE NECESSITA DE ALGUM PROGRAMA ESPECÍFICO À SER INSTALADO - ?????????????? : Meninos, meu notebook está lento e travando poderiam analisar por favor
5) INFORME UMA PREVISÃO DE DATA PARA LIBERAÇÃO DO DISPOSITIVO À SER FORMATADO - ?????????????? : 28-04-2025 
6) DESCRIÇÃO - ??????????????) : 
Meninos, meu notebook está lento  e travando poderiam analisar por favor

7) ANEXO - ?? : Documento anexado"
77;Esteira de crédito - propostas com aprovação (11233);10;4;33;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA 
2) SELECIONE A OPÇÃO DESEJADA - ??????? : FO - Portal de Crédito - FO - ???? 
3) SOLICITAÇÃO - ?? : Melhoria - ?? 
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Reparação na esteira de crédito 
5) DESCRIÇÃO - ??????????????) : 
Bom dia, Lucas.

Solicitamos que seja criado uma função que verificará se a proposta já foi aprovada pelos membros do comitê, as propostas que se enquadrarem (já possuírem a aprovação dos membros), deverão ter a opção de enviar diretamente para aprovado, não tendo a necessidade de parar pelos status das alçadas dos membros do comitê de crédito. 

O objetivo é otimizar tempo de análise das propostas, bem como minimizar o retrabalho dos envolvidos.

Ficamos no aguardo e agradecemos o suporte.

6) ANEXO - ?? : Nenhum documento anexado "
78;CP CDP - Release Cadastro Positivo - Fase 2 (11048);10;4;33;3;225;"Conforme material enviado pela NUCLEA, o cadastro positivo terá novas alterações de remessas.

[c71f22f1-8752cc2f-65a9a15a73f923.70426553]"
79;Campo TAC ISENTO (1395);6;4;35;3;225;"SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : FO - Portal de Crédito - FO - ????
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : TAC isenta
5) DESCRIÇÃO - ??????????????) : 
Prezados, 

Temos algumas operações que a TAC é isenta conforme aprovação da diretoria. Ao lançarmos uma proposta com essa condição, não temos a opção no campo Vlr TAC (ISENTO) para que possamos seguir da forma correta.

Peço gentileza criar essa condição (ISENTO) no campo VLR. TAC , para que não tenhamos impacto em nossas CCB(s) e nos  relatórios gerenciais.

Desde já agradeço!

 

6) EVIDÊNCIA(S) - ?? : Documento anexado"
80;Sistemas | ERP - SINQIA (11135);28;4;51;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : TE - Tesouraria - TE - ??
3) SOLICITAÇÃO - ?? : Melhoria - ??
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Relatório Suporte REINF - R-4020
5) DESCRIÇÃO - ??????????????) : 
Prezados

Necessário relatório suporte do REINF referente registros da família R-4000

Atualmente enviamos o registro R-4020 e na tela de extração do relatório só existe a possibilidade de extração dos registros R-2010 e R-2070.

Por favor verificar o ocorrido.

Em anexo tela de evidência extraída do TE.

6) ANEXO - ?? : Documento anexado"
81;Lentidão do Sistema (6437);6;4;10;3;225;"SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : FO - Portal de Crédito - FO - ????
3) SOLICITAÇÃO - ?? : Lentidão do Sistema - ????
4) DESCRIÇÃO - ??????????????) : 
Bom dia!

Estamos com lentidao ao acessar o cadastro no FO do cliente S. Lopes Sandim cliente 285-2. Ao entrar trava o sistema, essa observação vem ocorrendo com o backoffice, comercial e crédito (pois estamos utilizando para nova proposta do cliente).

Já excluí alguns documentos para que os anexos não fiquem muito carregado.

Anteriormente, (a dois anos atrás) já foi aberto um TIC comunicando esse mesmo erro dos seguintes clientes: Macromaq 353-0, Andrade 281-0, Argisul 375-1, JVR Mineração 726-9 e S. Lopes Sandim 285-2.

Gentileza verificar o cliente S.Lopes Sandim.

Obrigada!

5) ANEXO - ?? : Nenhum documento anexado"
82;CO - IRPJ/CSLL - Parametrização de Dedução (18240);28;4;51;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA 
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CO - Contabilidade - CO - ?? 
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ????? 
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : CO - IRPJ/CSLL - Parametrização de Dedução 
5) DESCRIÇÃO - ??????????????) : 
Bom dia!

A tela de parâmetro de dedução do IRPJ/CSLL não apresenta os registro quando informamos o período e clicamos em pesquisar.

Olhando via BD os registro estão cadastrado porém não são apresentados.

Por gentileza corrigir

At.te

6) EVIDÊNCIA(S) - ?? : Documento anexado "
83;Sistemas | ERP - SINQIA (23710);10;2;33;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : FO - Portal de Crédito - FO - ????
3) SOLICITAÇÃO - ?? : Melhoria - ??
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Melhoria no relatório de aprovados - Power BI
5) DESCRIÇÃO - ??????????????) : 
Boa tarde, time TI. 

Favor, providenciar uma melhoria no relatório de aprovados no Power BI, segregando por operações:

1) ''aprovados, conforme proposto'': Quando a operação é aprovada, nos moldes propostos pelo comercial, sem alteração;

2) ''aprovado, com alterações'': Quando a operação é aprovada, porém apresenta alguma alteração (aumento de entrada, redução de prazo, aumento de entrada, inclusão de garantia adicional.

* Importante ressaltar que é necessário o relatório demonstrar as alterações realizadas pelo crédito.

Ficamos a disposição para auxiliar na elaboração.

6) ANEXO - ?? : Nenhum documento anexado"
84;Sistemas | ERP - SINQIA (23348);33;4;41;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : EM - Crédito - EM - ??
3) SOLICITAÇÃO - ?? : Dúvida Operacional - ????
4) EXPLIQUE SUA DÚVIDA - ?????? : CADASTRO DE PRODUTO - REBATE OPERAÇÃO
5) DESCRIÇÃO - ??????????????) : 
Estamos com uma proposta simulada considerando 1 parcela de pagamento e 5 meses de carência, sendo 8% de rebate mais ou menos, mas no momento de simular o rebate da operação no sistema, o mesmo não permite o cadastro, disponibilizando até 5% o valor de rebate da operação. 

6) EVIDÊNCIA(S) - ?? : Documento anexado"
85;Avaliação Processo Comercial - Quantidade de itens na proposta (5553);6;4;35;3;225;"Prezados, bom dia!

Conforme alinhado em reunião, solicitamos uma melhoria no sistema Sinqia para lançamento da proposta e entrada de Nfe.
Hoje no sistema Sinqia para que possamos lançar a Nfe e chassi, o comercial lança uma a uma a quantidade de máquinas financiadas no momento de gerar a proposta, por exemplo, se tivermos 10 maquinas, serão lançadas na proposta 10 vezes a mesma máquina, na CCB sairá 10 vezes o mesmo item, isso acontece para que no momento que recebermos a Nota Fiscal com o Chassi possamos inserir no sistema EM as 10 Nfe individualmente.

[cid:image002.png@01D795AE.17E46090]

Para melhoria, sugerimos que o comercial ao lançar a proposta coloque apenas uma vez o modelo da máquina e no campo quantidade descreva quantas máquinas estão sendo financiadas.

[cid:image003.png@01D795AE.A3FF88C0]

No Sinqia EM, devemos ter a possibilidade de fazer a entrada de todas as notas individualmente, porque a emissão da Nfe de linha amarela é feita individual, para cada chassi será gerado uma Nfe.

Desde já agradeço!"
86;Avaliação Processo Comercial - CD - Inativar Equipamentos (6031);25;4;42;3;225;Avaliar com a Sinqia uma opção para inativar o cadastro de equipamentos não utilizados.
87;Sistemas | ERP - SINQIA (21265);29;4;40;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : TE - Tesouraria - TE - ??
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Relatório de contas pagas - Forma de pagamento
5) DESCRIÇÃO - ??????????????) : 
Prezados, boa tarde!

Por gentileza, precisamos de ajustes no relatório citado.

-O formato de números está como texto, precisamos que venha como moeda/valores.

-Precisamos da coluna com a forma de pagamento das despesas (Boleto/Cartão corporativo, TED, etc...)

Relatório e filtro de pesquisa em anexo.  

Desde já agradeço e ficamos a disposição.

6) EVIDÊNCIA(S) - ?? : Documento anexado"
88;SD-216922 TE - DCTFWeb - MIT - Módulo de Inclusão de Tributos (19887);28;4;51;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA 
2) SELECIONE A OPÇÃO DESEJADA - ??????? : TE - Tesouraria - TE - ?? 
3) SOLICITAÇÃO - ?? : Instalação do Sistema - ???? 
4) DESCRIÇÃO - ??????????????) : 
Prezados

Publicado layout para implantação do MIT - Módulo de Inclusão de Tributos

Trata-se de novo módulo que será integrado a DCTF WEB para inclusão dos demais tributos que ''não'' são declarados no e-Social e REINF como por exemplo: PIS, COFINS, IRPJ, CSLL, IOF, CIDE, etc

Obrigatoriedade de envio a partir da competência Janeiro/2025 (Envio Fevereiro/2025)

Desta forma será extinta a DCTF Convencional a partir da competência Janeiro/2025, tendo como Declaração oficial a DCTF WEB. 

 

 

5) ANEXO - ?? : Documento anexado "
89;Sistemas | ERP - SINQIA (18667);5;2;46;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CD - Cadastro - CD - ??
3) SOLICITAÇÃO - ?? : Melhoria - ??
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Incluir Campo Documentos Web Dealer
5) DESCRIÇÃO - ??????????????) : 
Solicitamos incluir na Plataforma Web Dealer, Campo Documentos:

Outros (não obrigatório)

Contrato Social e/ou ultimas alterações (obrigatório)

 

6) ANEXO - ?? : Documento anexado"
90;SD-69424 Cadastro de Equipamento na Proposta / Nota Fiscal (11900);5;4;46;3;225;"Bom dia!

Hoje temos que lançar os equipamentos no Portal de Crédito, aba Garantias da tela de Crédito Parcelado, um equipamento por vez, mesmo que ele se repita por dez vezes, por exemplo.

Isso acontece pois no lançamento da Nota Fiscal no Crédito - EM, tela de Contrato de Crédito Parcelado, o sistema puxa um equipamento por vez para cada nota.

As notas fiscais são faturadas com apenas um equipamento. Precisamos que esse processo seja otimizado, onde, por exemplo, ao lançarmos a quantidade de 10 equipamentos no Portal de Crédito, automaticamente no Crédito - EM sejam gerado dez registros de equipamentos com quantidade um em cada, para que ao lançar a nota fiscal seja vinculada a cada equipamento."
91;Regulatório 6209 (4883);16;4;36;3;225;"SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CP RDM - Risco de Mercado - CP RDM - ????
3) SOLICITAÇÃO - ?? : Melhoria - ??
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Documento solicitado pelo Bacen 6209
5) DESCRIÇÃO - ??????????????) : 
O Banco Central a partir de 01/01/2023 solicita a entrega dos documentos trimestrais 6209.

[c71f22f1-878a205d-63eb72e5c8f401.49661140]

 

6) ANEXO - ?? : Documento anexado"
92;FO - Referências Pessoais (3408);6;4;10;3;225;"n
n

SISTEMAS - ??

n
n
n
1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIAn
n
n
2) SELECIONE A OPÇÃO DESEJADA - ??????? : FO - Portal de Crédito - FO - ????n
n
n
3) SOLICITAÇÃO - ?? : Melhoria - ??n
n
n
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Exclusão da exigibilidade de ''Referências pessoais''n
n
n
5) DESCRIÇÃO - ??????????????) : nn
Bom dia!
n
Para cadastro de PF no sistema FO é obrigatório que sejam cadastrados dois dados de referências pessoais para que o cadastro seja efetuado.
n
Porém em nossa ficha cadastral não é solicitado esses dados pois para lei LGPD teríamos que ter autorização para inserção dos dados no sistema.
n
Nos cadastros realizados estamos preenchendo com dados aleatórios para que a conclusão seja realizada.
nntileza cancelar essa obrigatoriedade por ser um item que não é utilizado em nossa estrutura.n
Obrigada.
nn
6) ANEXO - ?? : Documento anexado"
93;FINAME - Botão Cadastro na tela da proposta (5660);10;4;33;3;225;"SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : FO - Portal de Crédito - FO - ????
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Abertura do cadastro pela proposta.
5) DESCRIÇÃO - ??????????????) : 
Bom dia.

No processo de homologação de operações pelo FINAME, identificamos que não é possível abrir o cadastro pela proposta, assim como é feito nas operações de CDC. Dessa forma, peço a gentileza de verificar com a Sinqia a correção do processo, pois o fato otimiza o processo de crédito.

6) EVIDÊNCIA(S) - ?? : Documento anexado"
94;CO ILG - Tela de Vinculação do Certificado do FGC (11061);28;4;37;3;225;"Bom dia\!

Conforme visto no atendimento do chamado SD-122745, atualmente o sistema Regulatórios Contábeis não disponibiliza tela para vincularmos a JKS da chave pública do FGC. Segundo Tiago Alves e Felipe Tamashiro isso já está em desenvolvimento.

Dessa forma, estamos abrindo o chamado para formalizarmos o aguardo da versão que terá essa funcionalidade."
95;FO - Tela Importar dados (X21SF0110A) (11850);6;4;10;3;225;Recentemente tivemos um erro operacional, o qual o usuário do Portal de Crédito realizou a importação de dados, marcando a flag dos documentos (anexos). Isso gerou um retrabalho para que os documentos pudessem estar coerentes com os cadastros, pois marcando essa flag o sistema substitui os dados do Portal de Crédito com os dados importados do Cadastro CD.
96;BAIXAS MULTIPLAS (5543);10;4;33;3;225;"Bom dia, pessoal.

Hoje tivemos a quitação de dois contratos do cliente AIZ. Tivemos que fazer a baixa manual de 87 parcelas. Sabemos que o sistema nos da a possibilidade de baixar todas as parcelas de uma só vez, porém, conforme conversamos, está faltando um campo que talvez seja importante para a tesouraria. Abaixo, as evidências:

* Baixas on-line:
[cid:image001.png@01D82711.64EBEC60]
[cid:image003.png@01D82712.1BC0E2B0]

* Baixas múltiplas:

[cid:image004.png@01D82712.1BC0E2B0]
[cid:image005.png@01D82712.1BC0E2B0]

No primeiro caso, o usuário consegue especificar qual é o Banco que recebeu os recursos, enquanto nas baixas múltiplas, não existe esse campo.

Dessa forma, por gentileza, verificar o impacto da ausência desse campo, bem como a necessidade de inclusão. Solicitou urgência, uma vez que temos previsto o recebimento de quitação de mais dois contratos e, a solução desse problema otimizaria tempo para realizar as baixas."
97;Alteração do campo Renda Bruta Mensal para Renda Bruta Anual (5555);6;4;10;3;225;"Boa tarde!

Peço a gentileza de verificar no Portal de Crédito - FO - Cadastro de Pessoa Física, a aba de Dados Profissionais onde é solicitado o preenchimento obrigatório de Renda Bruta mensal e Renda líquida mensal se tem como alterar para Renda Anual, porque no checklist de formalização é solicitado aos clientes pessoa física o Informe de Imposto de Renda e com isso o preenchimento das informações será mais preciso conforme o IR pois na declaração o valor dos rendimentos tributáveis é anual:

[cid:image001.png@01D76E96.DBFC3E10]

Segue um exemplo de declaração de IR onde é descrito a renda anual:

[cid:image003.png@01D76E98.FF51BC30]

Coloco-me a disposição para esclarecimentos.

At.te"
98;FO - Cadastro de Clientes Automatizado (7020);6;4;10;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA 
2) SELECIONE A OPÇÃO DESEJADA - ??????? : FO - Portal de Crédito - FO - ???? 
3) SOLICITAÇÃO - ?? : Melhoria - ?? 
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : QSA automático - Cadastro de PJ 
5) DESCRIÇÃO - ??????????????) : 
Boa tarde!

Conforme alinhado em reunião gentileza incluir no preenchimento do Cadastro de PJ que o QSA (Quadro de Sócios e Administradores) seja preenchido automaticamente conforme busca na Receita Federal.

Com essas informações preenchidas automaticamente teremos todos os normativos de compliance e crédito atendidos.

Sigo a disposição.

At.te, 

6) ANEXO - ?? : Nenhum documento anexado "
99;EM - Espaços da chave de acesso da NFe (11678);6;4;10;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA 
2) SELECIONE A OPÇÃO DESEJADA - ??????? : EM - Crédito - EM - ?? 
3) SOLICITAÇÃO - ?? : Melhoria - ?? 
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Lançamento de NFe - chave de acesso - espaçamento 
5) DESCRIÇÃO - ??????????????) : 
Boa tarde!

Quando efetuamos lançamento de NFe no módulo EM ao copiar a chave de acesso da NFe e colar gera espaço e temos que alterar manualmente.

Em conversa com a Sinqia foi solicitado abertura de TIC para melhoria no sistema.

Seguimos a disposição para qualquer esclarecimento.

6) ANEXO - ?? : Documento anexado "
100;Officer busca fornecedor no lançamento de propostas (11899);5;4;46;3;225;"Bom dia!

Ao buscarmos por um CLIENTE no lançamento de uma proposta os fornecedores estão sendo exibidos também.

No exemplo, segue o cadastro de um fornecedor. Perceba que a categoria dele é FORNECEDOR e não AMBOS.

Caminho de acesso:
Portal de Crédito -> Proposta -> Empréstimo parcelado (X21SF0104N)"
101;Sistemas | ERP - SINQIA (13989);8;4;48;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : FO - Portal de Crédito - FO - ????
3) SOLICITAÇÃO - ?? : Melhoria - ??
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : FO - APIs - Consultar Equipamentos, Fabricantes, Distribuidores e Tipo de Equipamento
5) DESCRIÇÃO - ??????????????) : 
Bom dia!

Estamos precisando saber se há disponíveis APIS para:

 	*
Consultar Equipamentos

 	*
Consultar Tipo de Equipamento

 	*
Consultar Fabricantes

 	*
Consultar Distribuidores Autorizados

Essas APIs, tem como objetivo de preencher os campos da TELA do RDME conforme print image.png.

Obrigado!

 

6) ANEXO - ?? : Documento anexado"
102;Sistemas | ERP - SINQIA (12252);6;4;10;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : OV - Ouvidoria - OV - ???
3) SOLICITAÇÃO - ?? : Melhoria - ??
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Relatorio gerencial - Quantitativo e Qualitativo - criar opção exportar
5) DESCRIÇÃO - ??????????????) : 
Bom dia!

Precisamos emitir o relatorio gerencial - Qualitativo e o relatorio gerencial - Quantitativo em ouvidoria para relatorio das chamadas abertas via SAC porém não tem o opção de EXPORTAR arquivo.

Favor verificar a inclusão.

Obrigada

6) ANEXO - ?? : Documento anexado"
103;Relatório de Conferência da DES Pouso Alegre (6332);28;4;51;3;225;"SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CO ILG - Regulatórios Contábeis - CO ILG - ??
3) SOLICITAÇÃO - ?? : Melhoria - ??
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Relatório de Conferência da DES Pouso Alegre
5) DESCRIÇÃO - ??????????????) : 
Prezados

Para validação do arquivo DES da Prefeitura de Pouso Alegre (Serviços Tomados de fora do Município), precisamos de um Relatório de Conferência para validação das informações que serão declaradas na Plataforma da Prefeitura

 

6) ANEXO - ?? : Nenhum documento anexado"
